order_id,customer_id,order_date,order_amount,order_status,shipping_adress,payment_id,payment_date,payment_amount,payment_method,payment_status,payment_summary
011e07d4-7261-4523-89bb-c966a27d55c4,4862,4/27/2025,167.699996948242,delivered,"2772 Robert Station, Jenkinsview, NH 92029",8cf20004-dfe4-4072-8020-4689551ef579,9/25/2020,271.799987792969,bank transfer,failed,Payment Failed
027bfb87-fcd8-4ce4-ad79-d9cdc5e78f06,4926,4/27/2025,133.960006713867,pending,"460 Susan Club Apt. 467, Parsonsberg, NY 15541",29da09b1-c7d9-4068-bd67-c98f0e54db3e,12/12/2021,112.809997558594,bank transfer,failed,Payment Failed
027bfb87-fcd8-4ce4-ad79-d9cdc5e78f06,4926,4/27/2025,133.960006713867,pending,"460 Susan Club Apt. 467, Parsonsberg, NY 15541",01bf4356-b664-43d2-ad49-b75cac69116f,9/8/2020,348.739990234375,credit card,completed,Fully Paid
13cf8ec9-02e6-41a9-b62e-bee1442b8261,4441,4/27/2025,437.279998779297,delivered,"351 Matthew Lakes, West Christopher, VA 63716",aa56e1db-1e4d-4e30-9383-87693a559c4d,1/9/2020,132,bank transfer,completed,Partially Paid
3523980b-c91c-4791-aa24-e19e247276af,6127,4/27/2025,74.1800003051758,delivered,"7826 Luke Mount Suite 686, Rogersville, MH 68680",4ef03664-1611-4d60-9775-f472efdd1585,6/2/2022,217.050003051758,paypal,pending,Payment Pending
3523980b-c91c-4791-aa24-e19e247276af,6127,4/27/2025,74.1800003051758,delivered,"7826 Luke Mount Suite 686, Rogersville, MH 68680",726e515e-4280-4d75-9f59-931ca11126dc,3/13/2025,163.570007324219,paypal,pending,Payment Pending
75c801d3-f281-49b5-9f70-e77c284b7934,3987,4/27/2025,435.049987792969,shipped,"538 Larry Cape Suite 513, North Tyler, OK 54651",7090fa74-5332-4809-b03b-3982bcec5c23,3/5/2025,9.27000045776367,bank transfer,completed,Partially Paid
92ed643e-fade-4431-8c94-cde83f29185c,1501,4/27/2025,346.029998779297,pending,"958 Key Forge, North Joshuatown, IN 64438",b329f3fe-1bd1-4b8c-a7c0-5b0a664c875f,9/11/2021,86.5400009155273,credit card,pending,Payment Pending
9cf06af7-91b2-4992-b108-f9ff3c2eb4b6,6293,4/27/2025,260.950012207031,shipped,"USNS Jimenez, FPO AA 51772",NULL,NULL,NULL,NULL,NULL,No Payment Record
d4944f86-ab26-414d-884a-4cffb63c2e9d,8033,4/27/2025,290.970001220703,delivered,"PSC 9230, Box 4501, APO AP 79444",b5672242-d338-4582-b96c-b5d8d9d6753a,9/2/2022,458.799987792969,paypal,pending,Payment Pending
